noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
e336f93b-93c1-488d-ab33-497cd88996cf,01,,cpv,42414210,,
e336f93b-93c1-488d-ab33-497cd88996cf,01,LOT-0001,cpv,42414210,,
deebdf92-64cc-4802-981c-de0c3eef80e2,01,,cpv,45314000,64210000,
deebdf92-64cc-4802-981c-de0c3eef80e2,01,LOT-0000,cpv,45314000,,
975a9fd6-729e-45a6-b6e0-5042d1b52752,01,,cpv,71240000,71200000,
975a9fd6-729e-45a6-b6e0-5042d1b52752,01,LOT-0001,cpv,71320000,,
907f675f-60c4-4f5c-a630-1b14f3ce81f7,01,,cpv,50000000,"50500000,50511100",
907f675f-60c4-4f5c-a630-1b14f3ce81f7,01,LOT-0001,cpv,50000000,"50500000,50511100",
6a370408-13db-4e37-84b8-9a80e96a5610,01,,cpv,32424000,,
6a370408-13db-4e37-84b8-9a80e96a5610,01,LOT-0000,cpv,32424000,,
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,,cpv,63100000,63720000,
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,LOT-0000,cpv,63100000,63720000,
d915e6fc-98f1-4026-b89a-ca71511550d7,01,,cpv,39150000,"39130000,39153000,39156000",
d915e6fc-98f1-4026-b89a-ca71511550d7,01,LOT-0001,cpv,39130000,39120000,
d915e6fc-98f1-4026-b89a-ca71511550d7,01,LOT-0002,cpv,39153000,"39156000,39151300",
7b607828-d2b7-4030-b1f8-ccfa850420c5,01,,cpv,71313450,"77300000,77211500",
7b607828-d2b7-4030-b1f8-ccfa850420c5,01,LOT-0000,cpv,71313450,"77300000,77211500",
de166c56-23c7-4c31-9f0e-9846fb8ea264,01,,cpv,30200000,,
de166c56-23c7-4c31-9f0e-9846fb8ea264,01,LOT-0000,cpv,30200000,,
05406422-b01c-4501-81f5-f3a35c83851f,01,,cpv,45214000,,
05406422-b01c-4501-81f5-f3a35c83851f,01,LOT-0001,cpv,45262100,,
32a921fc-6099-482a-b50f-05bab94d8660,01,,cpv,71221000,71222000,
32a921fc-6099-482a-b50f-05bab94d8660,01,LOT-0001,cpv,71200000,71222000,
671a062d-0e72-4040-807f-446ce257be29,01,,cpv,45214210,45410000,
671a062d-0e72-4040-807f-446ce257be29,01,LOT-0001,cpv,45214210,45410000,
b8d6782f-fde0-4efd-88f2-7be05e488c82,01,,cpv,71320000,,
b8d6782f-fde0-4efd-88f2-7be05e488c82,01,LOT-0000,cpv,71320000,,
01a0a017-b599-47f5-bb96-ad3a5279dfb2,01,,cpv,79956000,39154000,
01a0a017-b599-47f5-bb96-ad3a5279dfb2,01,LOT-0001,cpv,79956000,39154000,
13749400-50bc-453b-af41-538d48435248,01,,cpv,71200000,,
13749400-50bc-453b-af41-538d48435248,01,LOT-0001,cpv,71200000,,
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,,cpv,45262100,,
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,LOT-0001,cpv,45262100,,
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,LOT-0002,cpv,45262100,,
46665f56-3961-43b7-9815-fee8452fef01,01,,cpv,90500000,,
46665f56-3961-43b7-9815-fee8452fef01,01,LOT-0001,cpv,90500000,,
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,,cpv,71300000,,
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,LOT-0001,cpv,71300000,,
441bf2d2-b2ab-4701-85af-025a1d352a34,01,,cpv,90513900,,
441bf2d2-b2ab-4701-85af-025a1d352a34,01,LOT-0001,cpv,90513900,,
5872a17b-44fb-4261-96de-d8513acb1c67,01,,cpv,90511000,90512000,
