noticeIdentifier,noticeVersion,crossBorderLaw,procedureType,procedureFeatures,procedureAccelerated,lotsMaxAllowed,lotsAllRequired,lotsMaxAwarded
c5ef3499-a4b9-47ec-bc70-26f11a16f0c3,01,,open,,true,,,
3c8225a9-791b-49f1-b08d-a65ecfcb0076,01,,,,,,,
c69749e4-68cc-4d41-aabc-ab5cf295998f,1,,de-open,,false,,false,
7b083735-d2fe-4149-b920-ca6a524868e3,1,,de-open,,false,,false,
62017582-b322-43ba-b234-99c6d10e7cde,1,,de-open,,false,,false,
8168d760-e364-4120-9df0-b30c308f22c7,1,,de-open,,false,,false,
f9f456db-7d9a-4aa3-bb60-6dced2f58bcf,01,,,,,,,
3aa224f3-9873-4526-9c23-7271cf89efd8,01,,neg-wo-call,,,,,
ca6a9d29-4645-4b9f-9cbf-ec837f1587f9,01,,open,,false,,,
1fddcaa3-767c-4634-bea9-8c172601ff9e,01,,open,,false,,,
041a3b4a-d1d4-4009-9dcc-6ff36b793ef3,01,,open,,false,,,
6bf5b4f6-4a92-47f9-bc92-0d3e550a2fe2,01,,open,,false,,,
69e0360e-ef46-4cfc-93dc-c2f1a34d1292,01,,open,,false,,,
008f59f2-eb85-4cae-abb1-fc517ee97374,01,,open,,false,,,
a530858f-6d25-4f15-85a0-5947d0f21719,01,,open,,false,,,
298f0d7c-fb8d-4be7-8010-aa46e2328aed,01,,open,Soziale und andere besondere Dienstleistungen,,,,
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,,neg-w-call,,false,,,
7520388b-9b97-457f-90b9-f475ba5e4f0d,01,,neg-wo-call,,,,,
e6f5cf35-ea68-40a6-b4e7-9cda0aa4174b,01,,open,,false,,,
bd27ea21-4be0-43b2-ade5-0789e54cbaee,01,,neg-w-call,"1. Das vom Auftraggeber durchgeführte Verfahren ist ein Verhandlungsverfahren mit vorgeschaltetem Teilnahmewettbewerb nach Maßgabe der VgV. Die vergaberechtlichen Grundsätze der Transparenz des Verfahrens und der Gleichbehandlung aller Bewerber und Bieter werden im gesamten Verfahren streng beachtet.   2. Die Vergabeunterlagen enthalten weitere Informationen über den Beschaffungsbedarf des öffentlichen Auftraggebers, insbesondere Angaben zu Eignungs- und Zuschlagskriterien. Die Vergabeunterlagen sind von Beginn des Verfahrens an über die angegebene Internetplattform abrufbar.  3. Diese Bekanntmachung leitet den vorgeschalteten Teilnahmewettbewerb ein. Die für die Teilnahme am Verfahren erforderlichen Formulare können über den angegebenen Link heruntergeladen werden.  4. Im Anschluss an den Teilnahmewettbewerb werden die ausgewählten Bewerber zur Abgabe eines Angebotes auf Basis der Vergabeunterlagen aufgefordert.   5. Der Auftraggeber behält sich vor, den Auftrag auf der Grundlage der Erstangebote zu vergeben, ohne in Verhandlungen einzutreten.  - Fortsetzung unter zusätzliche Informationen -",true,,,
307bbb8e-7821-42e3-bebc-c5ce607d6d58,01,,open,,false,,,
5bf0da81-04b4-4540-a2a1-fa832e81b42d,01,,open,,false,,,
c99ad21f-5df0-4684-8d10-23135c1e8b85,01,,open,,false,,,
381330e9-a9a0-4bc7-a13c-dcca11451662,01,,neg-w-call,,false,,,
fcd29cc5-5683-4216-98b9-bce47074c29b,01,,open,,false,,,
55e88b1c-8f87-4059-a5e7-b883f368db49,01,,open,,false,,,
50fa43f2-fdd1-496b-92b0-37c5682c5e27,01,,neg-w-call,,false,,,
c321c95c-20c6-4bbc-827b-02d8b709daea,01,,open,,true,,,
80a70f68-a454-456f-b5ea-c7d81027ef8b,01,,open,,false,,,
