noticeIdentifier,noticeVersion,tenderIdentifier,lotIdentifier,tenderValue,tenderValueCurrency,tenderPaymentValue,tenderPaymentValueCurrency,tenderPenalties,tenderPenaltiesCurrency,tenderRank,concessionRevenueUser,concessionRevenueUserCurrency,concessionRevenueBuyer,concessionRevenueBuyerCurrency,countryOrigin
7d420b5a-d751-4e71-8250-e817a7c35bc9,01,TEN-0001,LOT-0001,172642.65,EUR,,,,,,,,,,
de46f8cc-3e1b-45a8-a1fb-b0c56e7a468d,01,TEN-0001,LOT-0000,,,,,,,,,,,,
0f40a536-3868-4c78-8710-e1a04df5dfdc,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
acb8340a-bc54-4982-bae7-7945179d4c5e,02,TEN-0001,LOT-0001,228930,EUR,,,,,,,,,,
8b68c9cd-becc-4aae-b266-0d8fd532adde,02,TEN-0001,LOT-0001,113445.38,EUR,,,,,,,,,,
169c17c4-4961-4faf-b265-cf241ade7b03,02,TEN-0001,LOT-0001,272210.16,EUR,,,,,,,,,,
8abc6569-ea2c-47c4-9535-5f7d00210f64,02,TEN-0001,LOT-0001,1001,EUR,,,,,,,,,,
8abc6569-ea2c-47c4-9535-5f7d00210f64,02,TEN-0002,LOT-0002,1001,EUR,,,,,,,,,,
ebf0316c-dc1d-4aff-9f0c-9601ef0834b6,02,TEN-0001,LOT-0001,17333.82,EUR,,,,,,,,,,
9a8868e4-d7bb-4015-8909-1bf3484af77f,01,TEN-0001,LOT-0001,,,,,,,,,,,,
10ab646d-012a-4acd-9d41-d2d5927addbb,01,TEN-0001,LOT-0001,325910,EUR,,,,,,,,,,
91690441-2088-4e96-99df-2b8ad32e5a1b,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
ee3a9d8e-fe1e-4949-9e4a-4e9c190918de,01,TEN-0000,LOT-0001,116989.02,EUR,,,,,,,,,,
ee3a9d8e-fe1e-4949-9e4a-4e9c190918de,01,TEN-0001,LOT-0002,96315.09,EUR,,,,,,,,,,
e7ffd4a2-72f0-4c60-b831-c4b32143062c,01,TEN-0001,LOT-0000,433.67,EUR,,,,,,,,,,
9affc1f7-f387-4b6c-b221-a24ee46c41c6,01,TEN-0001,LOT-0001,0,EUR,,,,,1,,,,,
d28f5c90-99bc-44f6-ab7f-b559d95655ec,01,TEN-0001,LOT-0000,33715.12,EUR,,,,,,,,,,
0ef9519d-3c29-4818-a4de-74d9d2fafdd5,01,TEN-0001,LOT-0001,0.00,EUR,,,,,,,,,,
d6edcf37-85e7-4c5d-aadd-631777267c50,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
afd9f95e-cfc5-4aa3-9657-683dc982242e,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
bd789d45-0e90-47dc-bc95-938462f0599d,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
bd789d45-0e90-47dc-bc95-938462f0599d,01,TEN-0002,LOT-0002,0,EUR,,,,,,,,,,
bd789d45-0e90-47dc-bc95-938462f0599d,01,TEN-0003,LOT-0003,0,EUR,,,,,,,,,,
bd789d45-0e90-47dc-bc95-938462f0599d,01,TEN-0004,LOT-0004,0,EUR,,,,,,,,,,
c14fa2a8-76dc-437b-bf6c-bd43c83bb3c9,01,TEN-0001,LOT-0001,1354625,EUR,,,,,,,,,,
f313e41a-4633-4ba7-b1be-e4a4adc5eb12,01,TEN-0001,LOT-0001,143996.36,EUR,,,,,,,,,,
77dd412a-f4af-4b1f-bc1b-77bcaf09e031,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
f67484c6-0ea9-45ec-98f4-f1afe4c46ecf,01,TEN-0001,LOT-0001,279985.70,EUR,,,,,,,,,,
f67484c6-0ea9-45ec-98f4-f1afe4c46ecf,01,TEN-0002,LOT-0002,33771.32,EUR,,,,,,,,,,
43f1eed3-92c4-4888-a2ae-b1de0485dec9,01,TEN-0001,LOT-0001,,,,,,,,,,,,
43f1eed3-92c4-4888-a2ae-b1de0485dec9,01,TEN-0002,LOT-0002,,,,,,,,,,,,
cba98c7f-e41f-4ab9-81b8-7a3319fc583a,01,TEN-0000,LOT-0000,230000,EUR,,,,,,,,,,
43e6cc1d-3b21-45dd-9238-1a0c606cbdac,01,TEN-0001,LOT-0001,,,,,,,,,,,,
6f3b35b2-71c9-4abb-a5de-426cf16e85d8,01,TEN-0000,LOT-0000,63007.55,EUR,,,,,,,,,,
7ee8c71e-6e5c-48b4-bbd0-68c027e3724d,01,TEN-0001,LOT-0001,164480.36,EUR,,,,,,,,,,
2339bde4-829b-43aa-b216-c75c2496c85f,01,TEN-0001,LOT-0001,245803.46,EUR,,,,,,,,,,
f543cff6-5e02-459b-9d43-6a78f2f61da8,01,TEN-0001,LOT-0001,6260.63,EUR,,,,,,,,,,
fddd9d32-d79e-4c0e-b40e-8d14b7ca2629,01,TEN-0001,LOT-0000,375276.60,EUR,,,,,1,,,,,
d4619e7b-8b9e-4a4f-a8e2-fa3fbe3dcb44,01,TEN-0001,LOT-0000,103250.00,EUR,,,,,1,,,,,
7b584af3-cd7a-4fa9-be87-2fa6755c77f4,01,TEN-0001,LOT-0001,209603.60,EUR,,,,,,,,,,
c4e11c05-c40c-401c-b0f0-a479f42067b7,01,TEN-0001,LOT-0001,364389.00,EUR,,,,,,,,,,
193c6052-b39c-4044-9fec-9669ee69dfd8,01,TEN-0001,LOT-0000,854991.49,EUR,,,,,,,,,,
3c3b2519-5588-45d3-a0ca-9d0e5dada4ce,01,TEN-0001,LOT-0000,,,,,,,,,,,,
8bc44cd7-7b10-4f1d-84b6-c2b84c99bd77,01,TEN-0001,LOT-0000,,,,,,,,,,,,
39451e83-34bc-4104-841d-204bcaf0bfb1,01,TEN-0001,LOT-0001,1315688.63,EUR,,,,,,,,,,
08738828-2406-4dee-b294-31c6c16f7568,01,TEN-0005,LOT-0001,,,,,,,,,,,,
08738828-2406-4dee-b294-31c6c16f7568,01,TEN-0003,LOT-0002,,,,,,,,,,,,
08738828-2406-4dee-b294-31c6c16f7568,01,TEN-0004,LOT-0003,,,,,,,,,,,,
08738828-2406-4dee-b294-31c6c16f7568,01,TEN-0001,LOT-0004,,,,,,,,,,,,
08738828-2406-4dee-b294-31c6c16f7568,01,TEN-0002,LOT-0005,,,,,,,,,,,,
fffa5d0a-0257-4e98-b6e8-6a182061357d,01,TEN-0001,LOT-0001,3945474.24,EUR,,,,,,,,,,
ca24ac0c-3c27-491e-a1e7-908958fd804d,01,TEN-0001,LOT-0001,277500.00,EUR,,,,,,,,,,
f38209f9-e539-4f4b-a401-83eb750ae9df,01,TEN-0001,LOT-0001,0.01,EUR,,,,,,,,,,
0430fc54-6625-452c-aaf0-0a8cbd97d010,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
da4582b1-8a28-481e-83a6-878d3f239556,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
47e9847c-09f7-46c9-8624-15b5de8a8f62,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
47e9847c-09f7-46c9-8624-15b5de8a8f62,01,TEN-0002,LOT-0002,0,EUR,,,,,,,,,,
e6363aeb-0f90-4733-b245-4001b55ec7e6,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
8ddab506-cf1b-4137-8c4e-d9def6330a29,01,TEN-0000,LOT-0000,,,,,,,,,,,,
e2adf39c-21d6-4694-b513-9f76df32f968,01,TEN-0001,LOT-0000,,,,,,,,,,,,
dbcf653b-8029-4098-a109-9b62fa738deb,01,TEN-0001,LOT-0000,321175.40,EUR,,,,,1,,,,,
d18415b2-37c4-4bb8-bca6-73e36fa44adf,01,TEN-0001,LOT-0001,77664,EUR,,,,,,,,,,
763c3a53-9692-49bb-add0-43db1fd0f91d,01,TEN-0001,LOT-0001,1644367.5,EUR,,,,,,,,,,
6b0f4674-e061-4675-a513-14d54862e182,01,TEN-0001,LOT-0001,99629.72,EUR,,,,,,,,,,
95906661-a883-4219-9c5f-e89d254ce70b,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
f9402825-f213-40c8-8453-1ad29277d8f7,01,TEN-0001,LOT-0000,,,,,,,,,,,,
8af347ed-e0b4-414f-8662-44a1be1556e0,01,TEN-0001,LOT-0001,57887.50,EUR,,,,,,,,,,
638de82a-f853-4b99-b7f6-276f72d8f122,01,TEN-0001,LOT-0001,,,,,,,,,,,,
dd8c3ec5-5ab2-46cc-b703-5ad9f5ae6000,01,TEN-0001,LOT-0001,,,,,,,,,,,,
a72e859e-1800-4833-813a-9247ffdf31e7,01,TEN-0001,LOT-0001,6591200.00,EUR,,,,,,,,,,
49715446-c1da-4691-9ef4-4f898af7c008,01,TEN-0001,LOT-0000,317137.88,EUR,,,,,,,,,,
4c8b8d25-5ca8-4a24-af95-19a6f5a0b651,01,TEN-0001,LOT-0000,,,,,,,,,,,,
48ad93c1-a5ef-48ec-b699-689d0bc29a11,01,TEN-0001,LOT-0001,,,,,,,,,,,,
8eece87c-c8ed-4c58-8424-4bfc2e480153,01,TEN-0001,LOT-0001,,,,,,,,,,,,
a01b6767-8cce-49dc-b347-29b2254182ba,01,TEN-0001,LOT-0001,,,,,,,,,,,,
a01b6767-8cce-49dc-b347-29b2254182ba,01,TEN-0002,LOT-0002,,,,,,,,,,,,
a01b6767-8cce-49dc-b347-29b2254182ba,01,TEN-0003,LOT-0003,,,,,,,,,,,,
ea0e049a-a32c-4310-aeb3-6f1f61ea8b6c,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
58eb916b-42e7-4bae-a968-f2441fbbdf8e,01,TEN-0001,LOT-0001,,,,,,,,,,,,
58eb916b-42e7-4bae-a968-f2441fbbdf8e,01,TEN-0002,LOT-0001,,,,,,,,,,,,
5b4b6b5d-0392-497a-9434-6a4c80f1c9ed,01,TEN-0001,LOT-0000,,,,,,,1,,,,,
6567e7d7-a73f-4743-95cc-1d79924e3da6,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
455f167a-a4f5-4731-9358-f35e7a72bbd8,01,TEN-0001,LOT-0001,176486.76225061045,EUR,,,,,,,,,,
d2d48dc2-f531-4bcd-999c-62b90579b79f,01,TEN-0001,LOT-0003,3257940.00,EUR,,,,,,,,,,
d2d48dc2-f531-4bcd-999c-62b90579b79f,01,TEN-0002,LOT-0002,3257940.00,EUR,,,,,,,,,,
d2d48dc2-f531-4bcd-999c-62b90579b79f,01,TEN-0003,LOT-0001,3257940.00,EUR,,,,,,,,,,
d2d48dc2-f531-4bcd-999c-62b90579b79f,01,TEN-0004,LOT-0004,3257940.00,EUR,,,,,,,,,,
5bb66845-fee5-49e6-b2c8-f3077fa3ed32,01,TEN-0001,LOT-0001,8250112.00,EUR,,,,,,,,,,
5efadda4-49d5-4acd-b026-868aa4239f3f,01,TEN-0001,LOT-0001,259300.00,EUR,,,,,,,,,,
2ab32f0d-71a0-48ea-b7ce-574864ea9f96,01,TEN-0001,LOT-0001,6260.63,EUR,,,,,,,,,,
19567368-13c7-4717-8adf-135ddae9aea6,01,TEN-0001,LOT-0001,0,EUR,,,,,1,,,,,
a6cbee04-9b79-44b1-bc02-954157bf1acc,01,TEN-0001,LOT-0001,,,,,,,,,,,,
325cac3c-ba5f-4058-8524-ec5a6b5562c7,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
4466d3d1-354c-4dfd-80f1-470c81110cc7,01,TEN-0001,LOT-0001,156440.00,EUR,,,,,,,,,,
a450274a-fe7c-4dc9-99e0-a78b2904e3dd,01,TEN-0001,LOT-0001,,,,,,,,,,,,
d9ab1893-476e-41db-ad82-62adfc75f439,01,TEN-0001,LOT-0000,3556040.68,EUR,,,,,,,,,,
1cbc2be9-77e9-4ffa-9a20-800fad6e93c3,01,TEN-0001,LOT-0000,162649.18,EUR,,,,,,,,,,
a5a8d359-ffca-4d30-8c7f-1be5e578381a,01,TEN-0001,LOT-0000,29640.00,EUR,,,,,,,,,,
cbc38ace-ae5a-48fb-826f-0e56e65dcf44,01,TEN-0001,LOT-0000,308850.00,EUR,,,,,1,,,,,
af662d6d-6dd9-47a9-b947-69930e5be98a,01,TEN-0001,LOT-0001,110663.00,EUR,,,,,,,,,,
76a4abec-70c6-4ed9-84f2-9cc496ac0c8d,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
b8ee89a5-dff2-4f48-8e18-3179c15c7176,01,TEN-0001,LOT-0000,,,,,,,,,,,,
508ca28a-585d-4af7-ae3e-01f3b25617b3,01,TEN-0001,LOT-0001,,,,,,,,,,,,
508ca28a-585d-4af7-ae3e-01f3b25617b3,01,TEN-0002,LOT-0002,,,,,,,,,,,,
2cffc857-8981-4b4c-b243-57cfade63ceb,01,TEN-0001,LOT-0000,,,,,,,1,,,,,
f439fc31-d3e0-4ed6-b2be-171c7602f2de,01,TEN-0001,LOT-0001,203317.76,EUR,,,,,,,,,,
1ab5d1a7-fe8d-419a-9db7-79d39fe0c7e2,01,TEN-0001,LOT-0000,313367.00,EUR,,,,,1,,,,,
ff2104f9-1865-47f2-9eb6-492ec5350a0f,01,TEN-0001,LOT-0000,,,,,,,,,,,,
c9741f16-aea4-4b1f-905d-999a6eff6661,01,TEN-0001,LOT-0002,206680.70,EUR,,,,,,,,,,
c9741f16-aea4-4b1f-905d-999a6eff6661,01,TEN-0002,LOT-0001,206680.70,EUR,,,,,,,,,,
c9741f16-aea4-4b1f-905d-999a6eff6661,01,TEN-0003,LOT-0005,206680.70,EUR,,,,,,,,,,
c9741f16-aea4-4b1f-905d-999a6eff6661,01,TEN-0004,LOT-0003,206680.70,EUR,,,,,,,,,,
c9741f16-aea4-4b1f-905d-999a6eff6661,01,TEN-0005,LOT-0004,206680.70,EUR,,,,,,,,,,
4c0e180b-bc9a-43e6-bac7-35fc4082df54,01,TEN-0001,LOT-0001,3457515.65,EUR,,,,,,,,,,
ce81ab80-ec22-4e38-96c7-a762aaf4761a,01,TEN-0001,LOT-0000,707546.00,EUR,,,,,2,,,,,
154276a1-4b77-4421-affc-870c5617d15b,01,TEN-0001,LOT-0000,,,,,,,,,,,,
8bb86434-f323-438c-b410-688eea1e9382,01,TEN-0001,LOT-0000,,,,,,,,,,,,
b225ac0d-7f96-4f8c-b700-3633e085621c,01,TEN-0001,LOT-0000,,,,,,,,,,,,
01a08a75-f5eb-4e4c-83c5-60b164ebe35b,01,TEN-0001,LOT-0011,29948,EUR,,,,,,,,,,
01a08a75-f5eb-4e4c-83c5-60b164ebe35b,01,TEN-0002,LOT-0012,33566,EUR,,,,,,,,,,
01a08a75-f5eb-4e4c-83c5-60b164ebe35b,01,TEN-0003,LOT-0017,6866,EUR,,,,,,,,,,
01a08a75-f5eb-4e4c-83c5-60b164ebe35b,01,TEN-0004,LOT-0013,41380,EUR,,,,,,,,,,
01a08a75-f5eb-4e4c-83c5-60b164ebe35b,01,TEN-0005,LOT-0008,60702,EUR,,,,,,,,,,
01a08a75-f5eb-4e4c-83c5-60b164ebe35b,01,TEN-0006,LOT-0009,35442,EUR,,,,,,,,,,
e79bb7f2-a797-4169-abb8-05686d80f70c,01,TEN-0001,LOT-0000,637200.00,EUR,,,,,,,,,,
9fab6856-357f-44cb-a8f7-1b3a015751da,01,TEN-0001,LOT-0000,,,,,,,,,,,,
1bc79d4d-4082-437e-9e3a-1e7a5bfcbe89,01,TEN-0001,LOT-0001,1.00,EUR,,,,,,,,,,
ea6b8124-9d3e-47b1-8200-425ac8a738d0,01,TEN-0001,LOT-0001,,,,,,,,,,,,
c1fccf1b-9a52-4960-a3e3-1066df557382,01,TEN-0001,LOT-0001,290528.24,EUR,,,,,,,,,,
26f1848e-d8d5-4ae3-8b0c-6dca3e4bee79,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
26f1848e-d8d5-4ae3-8b0c-6dca3e4bee79,01,TEN-0002,LOT-0001,0,EUR,,,,,,,,,,
0d06762e-e42a-44c3-96ef-618a5fa055fd,01,TEN-0001,LOT-0001,160971.26,EUR,,,,,,,,,,
56833ea5-58df-41b1-8b93-69c32e3b776d,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
89f97a08-7e7c-47ff-a36b-8cf22b175cac,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
fef55906-ff0b-49ed-baed-06312268141a,01,TEN-0001,LOT-0001,201057.74,EUR,,,,,,,,,,
6a072c36-ff4e-4e01-9d2f-c3849aff79cd,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
ea8f1a43-9513-41a0-8a4d-0cd582862db3,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
d54ec781-962f-409c-a82b-f09e4e169ca3,01,TEN-0001,LOT-0001,96503.00,EUR,,,,,,,,,,
232a86f2-44bc-4701-b740-2c7275873a1f,01,TEN-0001,LOT-0001,0.01,EUR,,,,,1,,,,,
232a86f2-44bc-4701-b740-2c7275873a1f,01,TEN-0002,LOT-0002,0.01,EUR,,,,,1,,,,,
232a86f2-44bc-4701-b740-2c7275873a1f,01,TEN-0003,LOT-0003,0.01,EUR,,,,,1,,,,,
232a86f2-44bc-4701-b740-2c7275873a1f,01,TEN-0004,LOT-0004,0.01,EUR,,,,,1,,,,,
232a86f2-44bc-4701-b740-2c7275873a1f,01,TEN-0005,LOT-0005,0.01,EUR,,,,,1,,,,,
232a86f2-44bc-4701-b740-2c7275873a1f,01,TEN-0006,LOT-0006,0.01,EUR,,,,,1,,,,,
57ece606-117a-426d-a888-4af660b56f3e,01,TEN-0001,LOT-0000,,,,,,,,,,,,
29c7ca20-b67c-40b2-87ac-9686db66acaa,01,TEN-0001,LOT-0000,,,,,,,,,,,,
f0c5d53b-9cb6-47fe-9daf-310dfde71f38,01,TEN-0001,LOT-0000,,,,,,,,,,,,
5b6d92e9-a4ab-4d47-90c0-342cc5774de2,01,TEN-0001,LOT-0001,297171.35,EUR,,,,,,,,,,
aac2dd05-c839-4c68-baeb-784225a7c0be,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
56123ce9-7570-44f8-898c-ccbf61ddfdba,01,TEN-0002,LOT-0001,481024.43,EUR,,,,,,,,,,
56123ce9-7570-44f8-898c-ccbf61ddfdba,01,TEN-0001,LOT-0002,227784.77,EUR,,,,,,,,,,
a4cd7a04-bb82-447d-80ff-207898189a11,01,TEN-0001,LOT-0000,,,,,,,,,,,,
3747dc6f-9c33-4dc6-83af-6504813c09b1,01,TEN-0001,LOT-0001,0,EUR,,,,,1,,,,,
3446a559-15f9-491b-8476-6d32e4154c93,01,TEN-0001,LOT-0001,208567,EUR,,,,,,,,,,
1e8e8e86-5c2f-497f-9865-460e2e1cb375,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
a00511c6-9a64-4118-811c-0f238982651a,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
381fc019-557a-4388-a9a4-a8e7afcb1741,01,TEN-0001,LOT-0001,,,,,,,,,,,,
fad97142-b443-4bd9-b7aa-c486345187b3,01,TEN-0001,LOT-0000,,,,,,,,,,,,
db18829c-a80e-45d8-bacf-cf1745f3b6d5,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
51971ae6-9e49-4e37-ae18-5812dd49561d,01,TEN-0001,LOT-0000,1254882.03,EUR,,,,,1,,,,,
54760ccf-db92-421d-bbc0-d3a3052c6575,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
f51cf9c9-f534-4b55-b11e-79c7e00fc1b2,01,TEN-0001,LOT-0001,3279989.00,EUR,,,,,,,,,,
29715cba-4b1c-4a79-a013-53b23c164720,01,TEN-0001,LOT-0001,,,,,,,,,,,,
1c27c316-9b14-4594-907e-d95f38ed204e,01,TEN-0001,LOT-0000,,,,,,,,,,,,
2f19d346-0db3-412c-b8a2-9dd0c007b0a8,01,TEN-0001,LOT-0001,,,,,,,,,,,,
2f19d346-0db3-412c-b8a2-9dd0c007b0a8,01,TEN-0002,LOT-0002,,,,,,,,,,,,
2f19d346-0db3-412c-b8a2-9dd0c007b0a8,01,TEN-0003,LOT-0003,,,,,,,,,,,,
2f19d346-0db3-412c-b8a2-9dd0c007b0a8,01,TEN-0004,LOT-0004,,,,,,,,,,,,
6db5929d-a517-43ed-9fe9-fb670fd9e694,01,TEN-0001,LOT-0001,367054.23,EUR,,,,,,,,,,
7dbb6c22-daf6-4e56-946f-922a05548229,01,TEN-0001,LOT-0001,135198.00,EUR,,,,,,,,,,
ec83e767-8a08-4384-b1f9-7c970236efa0,01,TEN-0001,LOT-0001,1182620,EUR,,,,,,,,,,
6eed375a-5cb3-4ea3-8c0e-467f90e25ca1,01,TEN-0001,LOT-0000,,,,,,,,,,,,
80675cc9-565a-4b93-816d-55b5930a0bb8,01,TEN-0001,LOT-0001,2877431.00,EUR,,,,,,,,,,
79800511-1d4b-4ad3-8c60-fd255ab125b3,01,TEN-0001,LOT-0001,400395.98,EUR,,,,,,,,,,
d31e5a38-d43a-4547-8973-c3590bacd62e,01,TEN-0001,LOT-0002,198150.00,EUR,,,,,,,,,,
d31e5a38-d43a-4547-8973-c3590bacd62e,01,TEN-0002,LOT-0001,198150.00,EUR,,,,,,,,,,
b64ce675-d41d-4740-be94-e6472a525ea9,01,TEN-0001,LOT-0001,0.00,EUR,,,,,,,,,,
ad9eaa7a-3247-485c-859d-ec19a1263c6b,01,TEN-0001,LOT-0001,9388.52,EUR,,,,,,,,,,
830c6da5-b6b1-4631-a98e-1f52d628be32,01,TEN-0001,LOT-0001,165469,EUR,,,,,,,,,,
6726f720-afb1-4713-9d79-16afcdf8bc54,01,TEN-0001,LOT-0000,,,,,,,,,,,,
bf0fdfde-8f62-4b1a-a947-5a92338c95b6,01,TEN-0001,LOT-0000,344759.67,EUR,,,,,,,,,,
a7170bc7-df89-4c34-ad0c-377bea21c268,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
c92fe955-e074-45e2-b270-ab63af8a6e30,01,TEN-0001,LOT-0001,31631,EUR,,,,,,,,,,
ec07ce3b-6024-4d6e-b732-6f5218b332b4,02,TEN-0001,LOT-0001,48488.9,EUR,,,,,,,,,,
c3c3c991-ddef-4be9-8019-79e0977619b1,01,TEN-0001,LOT-0001,728018.15,EUR,,,,,,,,,,
8a5794f3-558e-4156-86a7-1950acb1d1e6,01,TEN-0000,LOT-0000,1,EUR,,,,,,,,,,
ac66cbd7-4e75-4d04-a276-96c26831c4b1,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
