noticeIdentifier,noticeVersion,tenderIdentifier,lotIdentifier,tenderValue,tenderValueCurrency,tenderPaymentValue,tenderPaymentValueCurrency,tenderPenalties,tenderPenaltiesCurrency,tenderRank,concessionRevenueUser,concessionRevenueUserCurrency,concessionRevenueBuyer,concessionRevenueBuyerCurrency,countryOrigin
b6d328f5-cd55-4d41-9421-3734043c6787,01,TEN-0028,LOT-0015,8769.00,EUR,,,,,,,,,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,TEN-0029,LOT-0027,5986.00,EUR,,,,,,,,,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,TEN-0030,LOT-0029,4082.00,EUR,,,,,,,,,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,TEN-0031,LOT-0002,4344.00,EUR,,,,,,,,,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,TEN-0032,LOT-0008,5387.30,EUR,,,,,,,,,,
2bbbdc07-fa5f-4af9-99a4-7b2e9248396f,01,TEN-0001,LOT-0001,0.00,EUR,,,,,1,,,,,
1604bfc0-df6f-4412-a9b8-6bbff0548131,01,TEN-0001,LOT-0001,3905083.53,EUR,,,,,,,,,,
452cdf46-ea32-4091-af28-6a63ef8c9c74,01,TEN-0001,LOT-0001,0.00,EUR,,,,,,,,,,
c1bb7efc-f32e-4d8a-a28b-7c7768dba9c8,01,TEN-0001,LOT-0001,116636,EUR,,,,,,,,,,
bcfd3845-ebc1-44b8-9c34-c2d124b10fe7,01,TEN-0001,LOT-0001,1.00,EUR,,,,,,,,,,
89a419d8-3f95-4702-993f-d8beec8f6caa,01,TEN-0001,LOT-0001,91536.00,EUR,,,,,1,,,,,
f9130abe-6656-41ee-90e5-fa88244bc975,01,TEN-0001,LOT-0001,139400.00,EUR,,,,,,,,,,
f9130abe-6656-41ee-90e5-fa88244bc975,01,TEN-0002,LOT-0002,396925.00,EUR,,,,,,,,,,
f9130abe-6656-41ee-90e5-fa88244bc975,01,TEN-0003,LOT-0003,52916.96,EUR,,,,,,,,,,
f9130abe-6656-41ee-90e5-fa88244bc975,01,TEN-0004,LOT-0004,17704.34,EUR,,,,,,,,,,
a32e0e5f-cbf6-4bc8-9fe1-c6a3af7ef5f3,01,TEN-0001,LOT-0001,586000.00,EUR,,,,,,,,,,
9a166902-52db-4456-b8e2-5fe3f2c51e39,01,TEN-0001,LOT-0000,1793174.27,EUR,,,,,1,,,,,
6c0e64fd-a181-465d-a3ad-b4585d2758dd,01,TEN-0001,LOT-0001,146510.10,EUR,,,,,,,,,,
3678614b-4cd2-4a0b-9d07-b3bf8b21c1cb,01,TEN-0001,LOT-0001,0,EUR,,,,,,,,,,
08ecd73b-ffc2-45a7-8132-f92a89d11b94,01,TEN-0001,LOT-0000,,,,,,,,,,,,
c4745a16-5769-4144-a01f-0802676c2ac0,01,TEN-0001,LOT-0001,1500000.00,EUR,,,,,1,,,,,
63de9706-6f8e-416b-9d0c-617396a34c87,01,TEN-0001,LOT-0000,444530.70,EUR,,,,,,,,,,
8014ade7-eefd-4ab9-b5aa-c3f0725bdf40,01,TEN-0001,LOT-0001,82211.28,EUR,,,,,,,,,,
29c52430-b029-4424-8ca7-24374715bf58,01,TEN-0000,LOT-0000,846803.9,EUR,,,,,1,,,,,
4b6da03a-87a6-453f-a25a-669cc405f290,01,TEN-0001,LOT-0001,1.00,EUR,,,,,1,,,,,
b7d8db51-786a-4c0a-9bb5-cf046d701d5b,01,TEN-0001,LOT-0001,146890.07,EUR,,,,,,,,,,
ea2006a9-9224-467d-865e-5dd8134a2dbd,01,TEN-0000,LOT-0000,806146.91,EUR,,,,,1,,,,,
28c8aa4c-208a-46f3-b333-35c568928d49,01,TEN-0002,LOT-0001,,,,,,,,,,,,
28c8aa4c-208a-46f3-b333-35c568928d49,01,TEN-0001,LOT-0002,,,,,,,,,,,,
7974c8fb-a1a8-4c8a-a703-742399e2eca0,01,TEN-0002,LOT-0001,,,,,,,,,,,,
