noticeIdentifier,noticeVersion,noticeValue,noticeValueCurrency,noticeFrameworkValue,noticeFrameworkValueCurrency
eb6cb358-277f-463a-a7b6-10419bb6b2b5,01,2419981.67,EUR,,
ba79a82e-ba20-40d5-a701-698daf07eeb9,01,900000,EUR,,
892cd313-409d-4d28-89fb-e9c5c15b141b,01,3960510.13,EUR,,
e4219d9f-af23-4f38-8d05-842a51bb2395,01,,,,
7cba3224-ed9b-4557-912a-b89e03238035,01,,,,
ead3b499-cf64-4888-823d-7737ad787045,01,134680.00,EUR,,
9b92da70-5f05-4da6-8f36-63c00ccc4bfd,01,,,0,EUR
7bbe3e4a-e8f3-4ce7-8fac-f9899a31ebc0,01,396610.01,EUR,,
415228ba-c998-4c5b-a88e-4badc9d2e4dc,01,0.01,EUR,,
01a0a3dd-0de3-4c82-9bff-894ee83e347d,01,840000,EUR,,
a673c7df-5a09-4230-a1f0-8c32c383c6a7,01,,,,
63ced94b-e3ff-42f0-9b7c-b0a68e642465,01,,,18000000.00,EUR
4e2efa0e-8630-465b-beb5-fe2dc2e116e2,01,355140.06,EUR,,
dc250dbf-39dc-4f59-b567-cfe9c7189181,01,170704.12,EUR,,
af5ff21e-3c05-4f2c-bd6d-2946bfe9f899,01,,,,
f02e7748-2050-4ac4-a922-cb0f4439e986,01,,,,
aa0363f1-766e-40ce-956c-9969d649029b,01,77281.00,EUR,,
01a0a386-93b5-4920-903f-b03532554f28,01,155540,EUR,,
0438fc4d-f4e0-43f1-8124-783654473a06,01,1.00,EUR,,
4f3f43c4-b21a-4fe6-b95f-a02bcfaec978,01,604226.60,EUR,,
f142e565-038d-4c70-b79f-92083cfea0c8,01,,,,
0e4c6765-b27b-4e7e-9cb1-a4cb71f87e03,01,1634073.01,EUR,,
31c84d33-8204-4aeb-9bdc-6b03fe02d7b6,01,0,EUR,,
3b65793d-c78d-42bc-b654-1eac5dccdd27,01,,,,
9f47389f-4ff8-4452-bb85-29dc3fdbcacb,01,2672929.23,EUR,,
975ec467-e4c0-41ee-93e8-9e85b58e3304,01,,,,
65a1fbb7-b8fa-47a1-81b3-19eb0aea6d81,01,676582091.35,EUR,,
75b1656a-978d-42f1-bea4-282faba63fb7,01,381900.00,EUR,,
411eac10-5d12-40fb-a4d9-edbad677041b,01,,,,
15fde072-07e6-480b-9309-bd9ffe950305,01,238813.92,EUR,,
60e43b0a-8dfb-449e-b498-b09682344d0f,01,1,EUR,,
2fbce19e-8406-42b5-9a31-021c37f0693e,01,,,302000.00,EUR
54a3c5e2-e83d-4d6d-b9b4-c8ef88801272,01,238443.62,EUR,,
22be7dde-4ac6-4315-b87d-f19b7e9864cd,01,,,,
