noticeIdentifier,noticeVersion,lotIdentifier,procedureLotResultNumber,winnerChosen,notAwardedReason,frameworkMaximumValue,frameworkMaximumValueCurrency,frameworkEstimatedValue,frameworkEstimatedValueCurrency,tenderValueLowest,tenderValueLowestCurrency,tenderValueHighest,tenderValueHighestCurrency
aa0363f1-766e-40ce-956c-9969d649029b,01,LOT-0001,0,selec-w,,,,,,77281.00,EUR,99798.00,EUR
01a0a386-93b5-4920-903f-b03532554f28,01,LOT-0930,0,selec-w,,,,,,,,,
01a0a386-93b5-4920-903f-b03532554f28,01,LOT-1130,1,selec-w,,,,,,,,,
01a0a386-93b5-4920-903f-b03532554f28,01,LOT-1230,2,selec-w,,,,,,,,,
01a0a386-93b5-4920-903f-b03532554f28,01,LOT-1330,3,selec-w,,,,,,,,,
01a0a386-93b5-4920-903f-b03532554f28,01,LOT-1430,4,clos-nw,no-rece,,,,,,,,
01a0a386-93b5-4920-903f-b03532554f28,01,LOT-1830,5,clos-nw,ins-fund,,,,,,,,
0438fc4d-f4e0-43f1-8124-783654473a06,01,LOT-0001,0,selec-w,,,,,,,,,
4f3f43c4-b21a-4fe6-b95f-a02bcfaec978,01,LOT-0000,0,selec-w,,,,,,,,,
f142e565-038d-4c70-b79f-92083cfea0c8,01,LOT-0000,0,selec-w,,,,,,,,,
0e4c6765-b27b-4e7e-9cb1-a4cb71f87e03,01,LOT-0000,0,selec-w,,,,,,,,,
31c84d33-8204-4aeb-9bdc-6b03fe02d7b6,01,LOT-0000,0,,,,,,,,,,
3b65793d-c78d-42bc-b654-1eac5dccdd27,01,LOT-0001,0,selec-w,,,,,,,,,
3b65793d-c78d-42bc-b654-1eac5dccdd27,01,LOT-0002,1,selec-w,,,,,,,,,
9f47389f-4ff8-4452-bb85-29dc3fdbcacb,01,LOT-0000,0,selec-w,,,,,,,,,
975ec467-e4c0-41ee-93e8-9e85b58e3304,01,LOT-0000,0,selec-w,,,,,,,,,
65a1fbb7-b8fa-47a1-81b3-19eb0aea6d81,01,LOT-0000,0,,,,,,,,,,
75b1656a-978d-42f1-bea4-282faba63fb7,01,LOT-0000,0,selec-w,,,,,,381900.00,EUR,518700.00,EUR
411eac10-5d12-40fb-a4d9-edbad677041b,01,LOT-0001,0,selec-w,,,,,,537054.00,EUR,537054.00,EUR
411eac10-5d12-40fb-a4d9-edbad677041b,01,LOT-0002,1,selec-w,,,,,,395724.00,EUR,426816.60,EUR
411eac10-5d12-40fb-a4d9-edbad677041b,01,LOT-0003,2,selec-w,,,,,,163704.00,EUR,163704.00,EUR
411eac10-5d12-40fb-a4d9-edbad677041b,01,LOT-0004,3,selec-w,,,,,,120624.00,EUR,130101.60,EUR
15fde072-07e6-480b-9309-bd9ffe950305,01,LOT-0000,0,selec-w,,,,,,,,,
60e43b0a-8dfb-449e-b498-b09682344d0f,01,LOT-0000,0,selec-w,,,,,,,,,
2fbce19e-8406-42b5-9a31-021c37f0693e,01,LOT-0001,0,selec-w,,302000.00,EUR,,,,,,
54a3c5e2-e83d-4d6d-b9b4-c8ef88801272,01,LOT-0000,0,selec-w,,,,,,,,,
22be7dde-4ac6-4315-b87d-f19b7e9864cd,01,LOT-0001,0,clos-nw,chan-need,,,,,,,,
aa9e8b24-c04d-428d-bc89-8f1066e28c35,01,LOT-0001,0,selec-w,,0,EUR,,,,,,
5dbbe2be-5c22-4c3b-8923-6a3e9f4aa280,01,LOT-0001,0,clos-nw,all-rej,,,,,,,,
a3358992-2707-49b2-822c-dcf07304f3b0,01,LOT-0000,0,selec-w,,,,,,,,,
fb411cf6-4291-4ab1-9080-fb014f9a9c64,01,LOT-0000,0,selec-w,,,,,,,,,
4d643fae-3e36-4698-9988-0d3e35879d8f,01,LOT-0001,0,,,,,,,,,,
aecb6364-67b5-456f-ba2e-6dce58f64b21,01,LOT-0000,0,selec-w,,,,,,,,,
bcb96a9b-2bd2-46b3-b7a6-dbe4b1a6fd26,01,LOT-0000,0,selec-w,,,,,,,,,
02251263-d5d8-4ccf-bb46-d4ef31ac41c5,01,LOT-0001,0,selec-w,,,,,,,,,
e5945add-25b2-4c37-ade8-426440996759,01,LOT-0000,0,selec-w,,,,,,,,,
dc63569a-abdf-47f2-9210-616091d369de,01,LOT-0000,0,selec-w,,,,,,,,,
4b78a193-a1fc-423c-8a38-0694dfd95972,01,LOT-0000,0,selec-w,,,,,,,,,
091398e0-7d25-4871-911c-9da98bd731fd,01,LOT-0000,0,selec-w,,,,,,,,,
a137db0e-224a-4bd9-86d4-5bb3b3404d4e,01,LOT-0000,0,selec-w,,,,,,,,,
01a08f76-3858-4723-afdc-294aca37ffad,01,LOT-0001,0,selec-w,,,,,,,,,
b37b8634-91f0-43a1-9a0b-524aae0ee02e,01,LOT-0000,0,,,,,,,,,,
b01a3281-c302-440d-aa3a-0b3d7b665cea,01,LOT-0001,0,selec-w,,,,,,,,,
1799fd7d-d455-45ec-84b3-f267bdf5d0e2,01,LOT-0001,0,,,,,,,,,,
b502151c-0762-47f1-9b93-a51f389045d2,01,LOT-0000,0,selec-w,,,,,,,,,
68395e6d-ee88-4b84-b477-68e4396c6059,01,LOT-0001,0,,,,,,,,,,
b77e9652-6802-4103-a4e1-af42fab8cb9d,01,LOT-0000,0,,,,,,,,,,
52f6371b-39cc-4ec2-8721-e0b6e4e41699,01,LOT-0001,0,selec-w,,,,,,368910.52,EUR,671226.78,EUR
03e2ee12-213d-4a93-9e86-fa369290166f,01,LOT-0000,0,selec-w,,,,,,,,,
dee2c291-4257-440e-99c7-cdfab455b60a,01,LOT-0001,0,selec-w,,,,,,460170.66,EUR,581085.97,EUR
dee2c291-4257-440e-99c7-cdfab455b60a,01,LOT-0002,1,selec-w,,,,,,284280.76,EUR,354492.61,EUR
dee2c291-4257-440e-99c7-cdfab455b60a,01,LOT-0003,2,selec-w,,,,,,841913.55,EUR,2132556.11,EUR
bdf2df03-ecca-4e4a-834a-8c169022bab7,01,LOT-0000,0,,,,,,,,,,
7005d76c-7d7c-4ac2-aad2-e48d7745a287,01,LOT-0001,0,selec-w,,,,,,5926611.55,EUR,8279914.06,EUR
2446e1a7-8dc7-4593-b2d7-3260e7e86389,01,LOT-0000,0,selec-w,,,,,,,,,
3de46702-3005-4272-9212-60a743a822bf,01,LOT-0001,0,selec-w,,,,,,254800.00,EUR,302722.60,EUR
3de46702-3005-4272-9212-60a743a822bf,01,LOT-0002,1,selec-w,,,,,,184286.40,EUR,187007.80,EUR
dfd696de-b38c-4233-9db9-86a8b768feb4,01,LOT-0000,0,selec-w,,,,,,,,,
5e5c519f-e67b-43bd-aff3-fb2f08bf4814,01,LOT-0000,0,selec-w,,,,,,,,,
5a91aec9-aee6-4c00-809a-5ac8845a61ec,01,LOT-0000,0,selec-w,,,,,,,,,
1b4499e0-c0e0-4052-976b-908f05d646fa,01,LOT-0000,0,selec-w,,471000,EUR,428000,EUR,428000,EUR,471000,EUR
7844bb7e-551c-4b80-8e27-efa3b24aeb75,01,LOT-0001,0,selec-w,,66000,EUR,,,339715.00,EUR,462145.00,EUR
7844bb7e-551c-4b80-8e27-efa3b24aeb75,01,LOT-0002,1,selec-w,,900000,EUR,,,356100.00,EUR,441095.00,EUR
7844bb7e-551c-4b80-8e27-efa3b24aeb75,01,LOT-0003,2,selec-w,,300000,EUR,,,57206.00,EUR,84120.00,EUR
d80782ed-7a0d-4d7b-9d1b-76c7cfbc136d,01,LOT-0001,0,selec-w,,,,,,,,,
ec4d8be1-1960-40c4-976d-87eb381e9f1e,01,LOT-0000,0,selec-w,,,,,,,,,
6c6fd5da-2d81-4cd1-9b7a-4f9af163c766,01,LOT-0000,0,,,,,,,,,,
b9edd57c-869d-46a1-9b2f-e4d784c599f8,01,LOT-0000,0,,,,,,,,,,
cc0b1993-24c7-49b8-965b-2d87b7d6b61f,01,LOT-0001,0,selec-w,,,,,,,,,
cc0b1993-24c7-49b8-965b-2d87b7d6b61f,01,LOT-0002,1,selec-w,,,,,,,,,
7d420b5a-d751-4e71-8250-e817a7c35bc9,01,LOT-0001,0,selec-w,,,,,,172642.65,EUR,318512.00,EUR
de46f8cc-3e1b-45a8-a1fb-b0c56e7a468d,01,LOT-0000,0,selec-w,,,,,,,,,
0f40a536-3868-4c78-8710-e1a04df5dfdc,01,LOT-0001,0,selec-w,,,,,,,,,
acb8340a-bc54-4982-bae7-7945179d4c5e,02,LOT-0001,0,selec-w,,,,,,,,,
8b68c9cd-becc-4aae-b266-0d8fd532adde,02,LOT-0001,0,selec-w,,,,,,,,,
