noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
a1ee4560-73ee-44ca-879c-b81b4a3e500b,01,LOT-0001,,,DE26A,DEU
a1ee4560-73ee-44ca-879c-b81b4a3e500b,01,LOT-0002,,,DE26A,DEU
e336f93b-93c1-488d-ab33-497cd88996cf,01,,Eschweiler,52249,DEA2D,DEU
e336f93b-93c1-488d-ab33-497cd88996cf,01,LOT-0001,Eschweiler,52249,DEA2D,DEU
deebdf92-64cc-4802-981c-de0c3eef80e2,01,,Berlin,10365,DE300,DEU
deebdf92-64cc-4802-981c-de0c3eef80e2,01,LOT-0000,Berlin,10365,DE300,DEU
975a9fd6-729e-45a6-b6e0-5042d1b52752,01,,,,DEF04,DEU
975a9fd6-729e-45a6-b6e0-5042d1b52752,01,LOT-0001,,,DEF04,DEU
907f675f-60c4-4f5c-a630-1b14f3ce81f7,01,,,,DEA1E,DEU
907f675f-60c4-4f5c-a630-1b14f3ce81f7,01,LOT-0001,,,DEA1E,DEU
6a370408-13db-4e37-84b8-9a80e96a5610,01,,"Offenbach, Frankfurt Am Main",63067,DE713,DEU
6a370408-13db-4e37-84b8-9a80e96a5610,01,LOT-0000,"Offenbach, Frankfurt Am Main",63067,DE713,DEU
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,,Emden,26721,DE942,DEU
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,LOT-0000,Emden,26721,DE942,DEU
d915e6fc-98f1-4026-b89a-ca71511550d7,01,,,,DEB3E,DEU
d915e6fc-98f1-4026-b89a-ca71511550d7,01,LOT-0001,,,DEB3E,DEU
d915e6fc-98f1-4026-b89a-ca71511550d7,01,LOT-0002,,,DEB3E,DEU
7b607828-d2b7-4030-b1f8-ccfa850420c5,01,,Berlin,14163,DE300,DEU
7b607828-d2b7-4030-b1f8-ccfa850420c5,01,LOT-0000,Berlin,14163,DE300,DEU
de166c56-23c7-4c31-9f0e-9846fb8ea264,01,,Gera,07545,DEG02,DEU
de166c56-23c7-4c31-9f0e-9846fb8ea264,01,LOT-0000,Gera,07545,DEG02,DEU
05406422-b01c-4501-81f5-f3a35c83851f,01,,Schermbeck,46514,DEA1F,DEU
05406422-b01c-4501-81f5-f3a35c83851f,01,LOT-0001,Schermbeck,,DEA1F,DEU
32a921fc-6099-482a-b50f-05bab94d8660,01,,Bamberg,96049,DE241,DEU
32a921fc-6099-482a-b50f-05bab94d8660,01,LOT-0001,Bamberg,96049,DE241,DEU
