noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
a530858f-6d25-4f15-85a0-5947d0f21719,01,Stadt Geilenkirchen - Der Bürgermeister -,053700012012-31001-61,Geilenkirchen,52511,DEA29,DEU,https://www.geilenkirchen.de/,,buyer,,kommun-beh,,,,
a530858f-6d25-4f15-85a0-5947d0f21719,01,Vergabekammer Rheinland,05315-03002-81,Köln,50667,DEA23,DEU,https://www.bezreg-koeln.nrw.de/themen/wirtschaft-und-kultur/vergabekammer-rheinland,,reviewer,,,,,,
298f0d7c-fb8d-4be7-8010-aa46e2328aed,01,"Stadtverwaltung Mainz, Abt. Vergabe und Einkauf",Berichtseinheit-ID 00004114,Mainz,55116,DEB35,DEU,http://www.mainz.de,,buyer,,,,,,
298f0d7c-fb8d-4be7-8010-aa46e2328aed,01,"Ministerium für Wirtschaft, Tourismus, Energie und Klima RLP
 - Vergabekammer",DE355604198,Mainz,55116,DEB35,DEU,,,reviewer,,,,,,
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,Stadtverwaltung Bad Salzungen,DE 813100236,Bad Salzungen,36433,DEG0R,DEU,www.badsalzungen.de,,buyer,,kommun-beh,,,,
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,"Vergabekammer des Freistaates Thüringen, Thüringer Landesverwaltungsamt, Referat 250",16900334-0001-29,Weimar,99423,DEG05,DEU,,,reviewer,,,,,,
5b3d9c41-6b95-444b-951c-01eecb8f850e,01,B19 Architekten BDA,DE 155/151/43804,Barchfeld-Immelborn,36456,DEG0R,DEU,,,tenderer,,,,micro,,
7520388b-9b97-457f-90b9-f475ba5e4f0d,01,Universitätsklinikum Magdeburg A.ö.R.,DE 811 640 443,Magdeburg,39120,DEE03,DEU,http://intranet.med.ovgu.de/,,buyer,,anst-oer-land,,,,
7520388b-9b97-457f-90b9-f475ba5e4f0d,01,Vergabekammer beim Landesverwaltungsamt Sachsen-Anhalt,03455141536,Halle (Saale),06112,DEE02,DEU,,,reviewer,,,,,,
7520388b-9b97-457f-90b9-f475ba5e4f0d,01,Siemens Healthineers AG,DE 64872105,Berlin,13629,DE300,DEU,,,tenderer,,,,large,,
e6f5cf35-ea68-40a6-b4e7-9cda0aa4174b,01,Kreis Herzogtum Lauenburg,Berichtseinheit-ID 00002256,Ratzeburg,23909,DEF06,DEU,http://www.kreis-rz.de,,buyer,,koerp-oer-kommun,,,,
e6f5cf35-ea68-40a6-b4e7-9cda0aa4174b,01,Vergabekammer Schleswig-Holstein,keine Angabe,Kiel,24105,DEF02,DEU,,,reviewer,,,,,,
bd27ea21-4be0-43b2-ade5-0789e54cbaee,01,Stadt Coesfeld,DE 124470655,Coesfeld,48653,DEA35,DEU,https://www.coesfeld.de/startseite,,buyer,,koerp-oer-kommun,,,,
bd27ea21-4be0-43b2-ade5-0789e54cbaee,01,Vergabekammer Westfalen c/o Bezirksregierung Münster,05515-03004-07,Münster,48147,DEA33,DEU,https://www.bezreg-muenster.de/de/wirtschaft_finanzen_kommunalaufsicht/vergabekammer_westfalen/index.html,,reviewer,,,,,,
