noticeIdentifier,noticeVersion,lotIdentifier,suitableForSMEs
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0020,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0021,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0022,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0023,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0024,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0025,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0026,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0027,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0028,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0029,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0030,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0031,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0032,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0033,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0034,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0035,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0036,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0037,
eca54e1b-066b-4624-9b25-52c469e4b387,01,LOT-0001,True
2bbbdc07-fa5f-4af9-99a4-7b2e9248396f,01,LOT-0001,
31817d6c-02a0-4088-8949-b5a7f9edc13e,01,LOT-0000,False
1604bfc0-df6f-4412-a9b8-6bbff0548131,01,LOT-0001,
7a2bc9a7-8015-4b5e-b0de-841f3a78496b,01,LOT-0001,True
f1f4f430-22aa-4217-9c09-8d7d94a5516c,01,LOT-0001,False
452cdf46-ea32-4091-af28-6a63ef8c9c74,01,LOT-0001,
0154f570-03d0-4766-90ab-501c3e9c9727,01,LOT-0001,False
e4ea949f-6d96-43b3-ba0f-8f48f6c8c175,01,LOT-0001,True
e4ea949f-6d96-43b3-ba0f-8f48f6c8c175,01,LOT-0002,True
e4ea949f-6d96-43b3-ba0f-8f48f6c8c175,01,LOT-0003,True
ea96b9d2-128d-4482-bda5-b62255a3569c,01,PAR-0001,True
d96a9962-729c-44a2-a060-f4fa4fa5caa6,01,LOT-0001,True
e43bf811-04c1-4456-a92e-b8059fc60905,01,LOT-0000,False
